,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2,standard-normal,Single Blind,0.7319791666666666,0.06384300595238097,0.7596287687974727,0.06918807011235777,0.8231168831168832,0.07863039160680295,0.027649602130805934,0.000322981108262919,0.0911377164502164,0.0028540628122981355,0
3,standard-normal,Double Blind,0.7309473684210527,0.06619327265532249,0.7606766373247943,0.07179559451849774,0.8231578947368419,0.06882921589688511,0.029729268903742022,0.0006565361345055185,0.09221052631578949,0.003507535756684946,0
4,normal,Perturbed,0.993,0.0013928571428571423,0.993,0.0013928571428571423,0.993,0.0013928571428571423,0.993,0.0013928571428571423,0.993,0.0013928571428571423,1.0
5,normal,Single Blind,0.748125,0.0506331712372449,0.776353467352845,0.05472213568862455,0.8451948051948055,0.059299258917599754,0.028228467352844993,0.000297462190961622,0.09706980519480515,0.002771793172779104,0
6,normal,Double Blind,0.743578947368421,0.055206105489287075,0.7735668829464974,0.05995541694616495,0.8410526315789469,0.05217818983549097,0.029987935578076632,0.0006488923137035047,0.09747368421052637,0.0037800214822771207,0
7,uniform,Perturbed,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8,uniform,Single Blind,0.7319791666666666,0.06384300595238097,0.7596287687974727,0.06918807011235777,0.8231168831168832,0.07863039160680295,0.027649602130805934,0.000322981108262919,0.0911377164502164,0.0028540628122981355,0
9,uniform,Double Blind,0.7309473684210527,0.06619327265532249,0.7606766373247943,0.07179559451849774,0.8231578947368419,0.06882921589688511,0.029729268903742022,0.0006565361345055185,0.09221052631578949,0.003507535756684946,0
10,cauchy,Perturbed,0.9989999999999999,3.367346938775516e-05,0.9989999999999999,3.367346938775516e-05,0.9989999999999999,3.367346938775516e-05,0.9989999999999999,3.367346938775516e-05,0.9989999999999999,3.367346938775516e-05,1.0
11,cauchy,Single Blind,0.8002604166666668,0.051473050971690734,0.8227167515095811,0.05268408205141877,0.8823376623376624,0.04832979371542849,0.022456334842914476,0.00029901514768793585,0.08207724567099563,0.0034964406319907045,0
12,cauchy,Double Blind,0.7953684210526315,0.05277024139295603,0.8207329911277512,0.05509195762980792,0.871578947368421,0.0488620046356493,0.02536457007511995,0.0006059326988352549,0.07621052631578952,0.00429898807168297,0
13,t-distribution,Perturbed,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
14,t-distribution,Single Blind,0.7319791666666666,0.06384300595238097,0.7596287687974727,0.06918807011235777,0.8231168831168832,0.07863039160680295,0.027649602130805934,0.000322981108262919,0.0911377164502164,0.0028540628122981355,0
15,t-distribution,Double Blind,0.7309473684210527,0.06619327265532249,0.7606766373247943,0.07179559451849774,0.8231578947368419,0.06882921589688511,0.029729268903742022,0.0006565361345055185,0.09221052631578949,0.003507535756684946,0
