,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.,Hit Rate
1,standard-normal,Perturbed,0.9993333333333331,1.057471264367818e-06,0.9993333333333331,1.057471264367818e-06,0.9993333333333331,1.057471264367818e-06,0.9993333333333331,1.057471264367818e-06,0.9993333333333331,1.057471264367818e-06,1.0
2,standard-normal,Single Blind,0.09004629629629629,0.0006451659394068398,0.25457126655218915,0.06839818447419319,0.2572667056302357,0.013568314479968764,0.16452497025589283,0.06445678650815655,0.16722040933393945,0.011071571480670075,0
3,standard-normal,Double Blind,0.07464788732394363,0.0010828448104850568,0.15400608338728386,0.01989043624271703,0.18000000000000008,0.018743295019157093,0.07935819606334017,0.014885812815334262,0.10535211267605636,0.01518310923226477,0
4,normal,Perturbed,0.8173333333333335,0.002243471264367816,0.8173333333333335,0.002243471264367816,0.8173333333333335,0.002243471264367816,0.8173333333333335,0.002243471264367816,0.8173333333333335,0.002243471264367816,1.0
5,normal,Single Blind,0.23738425925925927,0.007607528580424295,0.3627485250294916,0.05503099881913895,0.35090590298071295,0.02000096020984402,0.12536426577023238,0.035894169826945495,0.11352164372145376,0.02671423009456259,0
6,normal,Double Blind,0.20985915492957746,0.005737093762184568,0.26801407810158473,0.019651479721440792,0.2911111111111112,0.0357037037037037,0.05815492317200719,0.011945476342546226,0.08125195618153364,0.03534722453404434,0
7,uniform,Perturbed,0.9991999999999999,1.613793103448279e-06,0.9991999999999999,1.613793103448279e-06,0.9991999999999999,1.613793103448279e-06,0.9991999999999999,1.613793103448279e-06,0.9991999999999999,1.613793103448279e-06,1.0
8,uniform,Single Blind,0.0965277777777778,0.0006580260217113665,0.2634845977752519,0.06989871358250019,0.26366647184882136,0.01680430204478014,0.1669568199974742,0.06642914490824472,0.16713869407104362,0.013620931625611996,0
9,uniform,Double Blind,0.0873239436619718,0.0013735643584674628,0.18074696727059175,0.024360311520139274,0.24222222222222223,0.030186462324393346,0.09342302360861993,0.01697498931263208,0.15489827856025043,0.022157404050515014,0
10,cauchy,Perturbed,0.9969999999999999,4.89655172413794e-06,0.9969999999999999,4.89655172413794e-06,0.9969999999999999,4.89655172413794e-06,0.9969999999999999,4.89655172413794e-06,0.9969999999999999,4.89655172413794e-06,1.0
11,cauchy,Single Blind,0.0978009259259259,0.0009105298575635022,0.22614558903086515,0.07444709687954158,0.12695304889927914,0.011903467033248833,0.12834466310493928,0.07123009869082501,0.029152122973353248,0.009529676387092512,0
12,cauchy,Double Blind,0.09765258215962438,0.0015997555675643631,0.13914597325886116,0.0195130771673176,0.10666666666666667,0.01244444444444444,0.041493391099236755,0.01334768529351556,0.009014084507042247,0.009045009466436523,0
13,t-distribution,Perturbed,0.9991333333333332,1.7057471264367858e-06,0.9991333333333332,1.7057471264367858e-06,0.9991333333333332,1.7057471264367858e-06,0.9991333333333332,1.7057471264367858e-06,0.9991333333333332,1.7057471264367858e-06,1.0
14,t-distribution,Single Blind,0.09629629629629627,0.0005819741556690792,0.26228927125326085,0.06827021174837719,0.2728521332554062,0.013418868669972378,0.16599297495696452,0.06358085768541127,0.17655583695910992,0.01138489541750255,0
15,t-distribution,Double Blind,0.0976525821596244,0.0017502456865199612,0.18519271277317392,0.02009538152064294,0.25333333333333335,0.026482758620689655,0.08754013061354948,0.013974534453261389,0.15568075117370891,0.018998748195828686,0
