,0,1,2,3,4,5,6,7,8,9,10,11
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.,Euc. - Fidelity,Euc. Diff. Var.,NN. - Fidelity,NN. Diff. Var.
1,normal,Perturbed,0.8315749999999997,0.001788045512820513,0.8315749999999997,0.001788045512820513,0.8315749999999997,0.001788045512820513,0.8315749999999997,0.001788045512820513,0.8315749999999997,0.001788045512820513
2,normal,Single Blind,0.8994801512287337,0.00015922732313468493,0.9232712754204213,0.0004145159759050669,0.9492924528301888,0.005069271389581108,0.023791124191688,0.0004401179985936331,0.04981230160145526,0.005603118148754069
3,normal,Double Blind,0.894871794871795,0.0009710210893642845,0.9219255702260691,0.0009196066652799978,0.95,0.006249999999999999,0.02705377535427405,0.0003604212562592359,0.05512820512820514,0.008798930359581248
4,uniform,Perturbed,0.99085,0.0017981307692307674,0.99085,0.0017981307692307674,0.99085,0.0017981307692307674,0.99085,0.0017981307692307674,0.99085,0.0017981307692307674
5,uniform,Single Blind,0.8487240075614373,0.03803120938914122,0.8724319510355908,0.03830735990573033,0.907547169811321,0.03448256976202864,0.023707943474154062,0.000207169440269208,0.05882316224988411,0.002743155533843669
6,uniform,Double Blind,0.8384615384615388,0.03840927864596506,0.8665884499598832,0.03927575373319789,0.909375,0.03604767628205128,0.028126911498344665,0.0002863856604221354,0.07091346153846156,0.010962543356681656
7,cauchy,Perturbed,0.978,0.003657897435897436,0.978,0.003657897435897436,0.978,0.003657897435897436,0.978,0.003657897435897436,0.978,0.003657897435897436
8,cauchy,Single Blind,0.8490075614366734,0.026039729612026028,0.8730699089825681,0.02741305864329677,0.9089622641509436,0.031736588438261645,0.024062347545895167,0.0003622726112541874,0.05995470271427047,0.008392628182594508
9,cauchy,Double Blind,0.8493589743589745,0.027113993829970165,0.8773613234849866,0.028298129713251418,0.915625,0.025951522435897437,0.028002349126012356,0.00025011209207654927,0.06626602564102567,0.0066527943723764735
10,t-distribution,Perturbed,0.9933,0.0009740615384615383,0.9933,0.0009740615384615383,0.9933,0.0009740615384615383,0.9933,0.0009740615384615383,0.9933,0.0009740615384615383
11,t-distribution,Single Blind,0.8352551984877132,0.05077563733764932,0.8576074264284628,0.052590818949000015,0.8915094339622645,0.050131902036494425,0.022352227940750112,0.0003832004895846373,0.056254235474551516,0.0045495216265336825
12,t-distribution,Double Blind,0.8211538461538463,0.054737520861781255,0.847432488645285,0.05786932747972337,0.88125,0.05685096153846155,0.02627864249143877,0.0003678553895943803,0.06009615384615387,0.007553308172760838
