,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,,,,,,,,,,,,,,,,,,
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,,5,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-2.917459073,0,0,20.66799762,0,3.092925308,0,0,0
1,Old Approach,BARBE,normal,6,0.430847953,0.430847953,1,0.278947368,0.147368421,0.078947368,0.078947368,0,0,0,0,0,22.84165491,0,0,0,0,0,,14,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,16.98213674,0,-1.575927875,0,1.93792003,0,,,,,,,,,,,,,,,,,,,,,,,,
3,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-2.440609392,8.404462931,0,-2.598441087,0,2.375027954,0,,,,,,,,,,,,,,,,,,,,,,,,
4,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,2.073365985,2.241507232,1.455960976,0,23.23809745,0,-4.102717172,0,-1.455960976,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,0,2.166986097,1.673296209,0,22.09152023,0,-2.785352634,1.687945545,2.828358707,0,,,,,,,,,,,,,,,,,,,,,,,,
7,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,15.10409662,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-8.099159966,12.20009902,0,-3.082109723,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,1.074267688,1.074267688,9.223077896,2.694667053,-2.942372649,0,-2.724271952,0,,,,,,,,,,,,,,,,,,,,,,,,
10,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,22.26045609,0,-5.484462191,0,-2.35192544,-2.35192544,,,,,,,,,,,,,,,,,,,,,,,,
11,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,2.164219171,2.164219171,21.86180747,0,-3.122443192,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-3.915957168,4.905592614,0,27.41128414,0,-7.865300561,0,1.448478178,0,,,,,,,,,,,,,,,,,,,,,,,,
13,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,0,-2.600008283,2.426206716,4.554128534,10.01001759,-1.99991537,-2.397371943,0,1.691365439,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,4.22825634,0,20.41054174,0,-2.506107419,0,1.765322149,0,,,,,,,,,,,,,,,,,,,,,,,,
16,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-3.147913526,0,-2.663446704,11.53944827,2.663446704,0,2.265631957,2.265631957,0,,,,,,,,,,,,,,,,,,,,,,,,
17,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,2.335497544,12.42479751,0,-4.517651597,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
18,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0.879214799,0.879214799,2.002590994,0,9.069550518,0,-2.232013516,0,0,0.879214799,,,,,,,,,,,,,,,,,,,,,,,,
19,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,23.27960745,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,1.772946027,-1.772946027,2.727367937,0,1.772946027,12.18583264,0,-2.939278272,0,3.244096878,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.358931255,,-0.276268671,,0.16663317,,,,,,,,,,,,,,,,,,,,,,,,,,
