,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
1,Old Approach,BARBE,normal,6,0.40745614035087774,0.40745614035087774,0.9,0.3,0.08947368421052632,0.12631578947368421,0.08421052631578947,0,0,0,2.7980880490134896,2.7980880490134896,25.51686865927236,0,0,0,0,0
2,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,0,0,0.0,-3.295800156609172,-2.0401466312833234,17.772006226505134,-1.7287679398202156,1.874509531049411,2.789455867391848,-0.9326705780448272,-2.0401466312833234
3,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,6.767601083523786,0.0,-2.1246499186372603,0.0,0,0
4,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,27.404045905947317,0,-4.60195259305743,0,0,0
5,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-2.6462479599330826,0,18.100274379084954,0,2.6462479599330826,0,0,0
6,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0.0,0,0,3.5944045880883464,0,23.988772171067797,0,0,0,0,0
7,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0.7728732667911894,-3.5281313757794943,17.830495088377976,0,0,0,0.7728732667911894,0
8,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,17.77426655112918,0,-5.373808374950125,0,0,0
9,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,6.671637848235932,0.0,-6.959672783828549,0.0,0,0.0
10,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,1.4948946895676272,0,2.157636294999854,4.373742795607052,-3.8531638215834656,13.111167091453698,0,-4.660885517649324,0,0,0
11,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-1.5222141384084111,-1.5222141384084111,30.31330664208422,0,1.5222141384084111,0,0,0
12,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,5.741828227085375,0,27.8545449894279,0,3.8575666781023785,-3.8575666781023785,-1.3968233803359262,0
13,Old Approach,BARBE,normal,9,0,0,0,0,0,0,0,0,-1.4813118751059333,0,3.2052255143804587,1.4157030385290879,16.647453032609143,1.4813118751059333,-0.3833246535466889,-1.4813118751059333,-3.50397892362542,1.4946680429275072
14,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0.0,0,0,0,8.29901713600516,0.0,-2.9674167083566205,0,0,0
15,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,20.82102411902093,0,-3.539690486897344,0,3.539690486897344,0
16,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,0.0,-2.283798672676,3.3012579570949896,0,15.318471445841652,0.6451506833724866,0.0,-2.283798672676,-2.4980219957256162,0
17,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0.0,0,0.8994033404193988,-2.714142997231701,-2.714142997231701,13.967526435186393,0,2.4939183282801185,0,0,0
18,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,9.386882621081954,0,-1.7064151360916764,0,0,0
19,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.678693377658816,24.299641563348025,0,2.0703712830796865,0,-2.0703712830796865,0
20,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-5.378935002508868,19.564847979232766,-2.6968102919175023,5.378935002508868,1.8466289861255263,0,0
