,0,1,2,3,4,5,6,7
0,Method,Evaluation,Fidelity (Original),Fid. Var.,Euclidean Fidelity,Euc. Var.,Nearest Neighbor Fidelity,NN. Var.
1,normal,Perturbed,0.8413,0.0027159052631578954,0.8413,0.0027159052631578954,0.8413,0.0027159052631578954
2,normal,Single Blind,0.8854442344045369,0.0010349486052135994,0.9125238725664981,0.0012035798582604596,0.9419811320754718,0.00828422738940623
3,normal,Double Blind,0.8910256410256412,0.003659296169417626,0.9192255881947433,0.0027666653192974823,0.94375,0.007360197368421055
4,uniform,Perturbed,0.8761999999999999,0.004598694736842106,0.8761999999999999,0.004598694736842106,0.8761999999999999,0.004598694736842106
5,uniform,Single Blind,0.8671077504725899,0.0031142120365718947,0.8988396124246872,0.0031535332908593267,0.9320754716981134,0.013299357328886477
6,uniform,Double Blind,0.8820512820512821,0.002934357590228037,0.9115291655444613,0.0019540322614260038,0.9375,0.005756578947368421
7,cauchy,Perturbed,0.7283000000000001,0.004336957894736842,0.7283000000000001,0.004336957894736842,0.7283000000000001,0.004336957894736842
8,cauchy,Single Blind,0.8903591682419659,0.0006221578080334713,0.9188232748268742,0.0006281035974575877,0.9462264150943398,0.007664274606059472
9,cauchy,Double Blind,0.8961538461538463,0.0007941451261289319,0.9260869841719108,0.00024178395802642238,0.95,0.005592105263157894
10,t-distribution,Perturbed,0.8731999999999998,0.00652058947368421,0.8731999999999998,0.00652058947368421,0.8731999999999998,0.00652058947368421
11,t-distribution,Single Blind,0.8366729678638942,0.019573671440116652,0.8681193756632346,0.021782819021067962,0.9056603773584907,0.033426392610219034
12,t-distribution,Double Blind,0.830769230769231,0.022242984186304028,0.8628281365445594,0.023497081951071266,0.89375,0.026768092105263163
