,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
1,Old Approach,BARBE,normal,6,0.42069757727652524,0.42069757727652524,0.8052631578947368,0.13157894736842105,0.11578947368421053,0.12631578947368421,0.07894736842105263,0,0,0,0,0,44.06766414739158,0,0,0,0,0
2,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,36.780719686693416,8.358217791671223,0,0,0,-8.358217791671223
3,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-13.493668426055567,0,0,27.66343576112032,0,8.828199031881894,0,0,0
4,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,-7.54985796146785,0,0,0,0,39.168721081835315,0,15.018822394033334,0,-7.54985796146785,0
5,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-7.234171414335762,-7.234171414335762,0,30.398055615322235,0,8.484268112557828,-8.953767542760572,-10.811671815489994,0
6,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-10.92862017628307,40.833787018740544,0,10.92862017628307,-10.92862017628307,0,0
7,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-46.28867459915736,41.46476726850859,0,0,0,0,0
8,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-22.28960771826695,40.868776371788044,8.760820994352878,17.230600622758647,0,-17.370048909570926,0
9,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-8.011986612369157,-30.994722404185264,36.488029315348676,10.080192452238782,17.420072365733137,0,0,0
10,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-8.620345906730245,-8.620345906730245,44.77564298022829,0,8.620345906730245,0,0,0
11,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,-7.5082673995539615,0,0,-7.5082673995539615,0,36.13873375366097,0,7.5082673995539615,-19.34323918431571,0,0
12,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,43.90659189506937,0,20.985429641252082,-21.943540034971875,0,0
13,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,0,-9.091054351619505,0,0,-7.016672066514759,28.464191786304436,0,10.198112397634674,-6.919440629871355,0,-7.167237280605133
14,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,7.20283194649088,-7.06895682947584,-7.302282033416339,0,0,89.1500075967954,0,0,0,-7.20283194649088,0
15,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,41.140625662737506,0,13.952476848887086,0,0,0
16,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,-10.659717454771496,48.17371776489881,0,9.031427736250123,0,0,0
17,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-7.156993634821788,0,0,32.727827072730854,7.156993634821788,100.21334806443527,0,0,0
18,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,31.2631697593777,0,11.304747765297423,0,0,0
19,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-11.757418365460094,-7.142543187393338,-13.790511836126369,35.92926534171553,0,10.725174642704546,0,-7.142543187393338,0
20,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-7.4865064734819065,-15.371283200877075,35.5069476178815,10.219862264412678,10.702066832663675,0,-10.219862264412678,0
