,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,,,,,,,,,,,,,,,,,,,,,
0,Metric,Approach,Distribution,N Important,Stability 5,Stability N/2,Feat 1 Stab,Feat 2 Stab,Feat 3 Stab,Feat 4 Stab,Feat 5 Stab,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,,,,,,,,,,,,,,,,,,,,,,,,
1,Old Approach,BARBE,normal,6,0.422159566,0.422159566,0.9,0.321052632,0.115789474,0.1,0.126315789,0,0,0,0,0,58.5802637,0,13.65045084,-7.829206051,-15.87310794,0,,2,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,51.24123656,0,-9.029554545,-7.441606453,0,8.283515345
,,,,,,,,,,,,,,,,,,,,,,,,14,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-7.648580319,0,0,0,0,0,0,0
3,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,30.64256534,0,8.995066302,0,0,0,,17,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,32.19655636,9.466048562,24.37895251,0,0,0
4,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,51.23077161,0,16.0932012,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-9.390795615,0,33.20327351,0,9.956026883,0,-10.24730426,-9.207644522,,,,,,,,,,,,,,,,,,,,,,,,
6,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,51.64562493,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,50.01049739,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,33.69843306,7.806671953,13.27965306,0,-7.806671953,0,,,,,,,,,,,,,,,,,,,,,,,,
9,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,-8.912646766,0,0,24.35676317,0,9.441732802,0,0,-7.688374894,,,,,,,,,,,,,,,,,,,,,,,,
10,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,0,6.989456078,0,-7.019910497,-8.948493428,54.0586209,0,13.48388838,0,-27.58770774,-7.333268165,,,,,,,,,,,,,,,,,,,,,,,,
11,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,55.6321002,0,15.24943956,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-12.08072366,-12.29261354,58.12456532,0,12.69183179,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,50.49981043,14.61507457,7.347437728,-7.347437728,-7.347437728,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Old Approach,BARBE,normal,8,0,0,0,0,0,0,0,0,8.576768189,-8.487812876,0,-8.724461137,35.83573513,0,11.65859567,-9.147564782,-10.36084995,-8.644585606,,,,,,,,,,,,,,,,,,,,,,,,
16,Old Approach,BARBE,normal,7,0,0,0,0,0,0,0,-7.297083561,0,-6.9927171,-7.693671348,0,23.91066372,0,0,0,-7.651677669,-7.104514616,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,38.03843819,0,9.398420576,0,-8.594931457,0,,,,,,,,,,,,,,,,,,,,,,,,
19,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,0,0,47.93720698,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
20,Old Approach,BARBE,normal,6,0,0,0,0,0,0,0,0,0,0,-8.27818013,0,38.33773986,8.27818013,9.490007004,0,-8.344396767,-8.384505525,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.429240209,0.915660251,-1.434892749,-2.615487132,-1.762680477,43.27900432,1.805878038,8.866808929,-1.430835798,-6.106710909,-2.844876078,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.82427089,2.674188228,3.298354542,4.378503958,4.092099298,11.31486513,4.352527652,5.619834324,2.836164821,7.335139387,4.057798899,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.201318432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
